id	name	rarity	description	requirements	effects	end
451	An ancient guru has transcende	-2	An ancient guru has transcended. His skull continues to provide wisdom and guidance and has been added to your collection of magic wonders. [Skull Mentor]	magic 0|fornation 20	magicitem 9	
452	A mob of monkeys has beaten th	1	A mob of monkeys has beaten the local human sheriff to death.	fornation 68|chaos 1|land 1|minpop 50	unrest 20	
453	A little known sect of dark ap	1	A little known sect of dark apes are sacrificing humans in the woods. It may be just a rumor.	fornation 68|land 1	kill 1|unrest 5|incdom 1	
454	An ancient guru has transcende	-2	An ancient guru has transcended. His skull continues to provide wisdom and guidance and has been added to your collection of magic wonders. [Skull Mentor]	magic 0|fornation 68	magicitem 9	
455	The carcass of a dead shambler	-2	The carcass of a dead shambler washed ashore during one of the worst storms in memory. The creatures skin was fashioned into a piece of armor. [Shambler Skin Armor]	coast 1|noseason 3	magicitem 9|kill 1	
456	An industrious clan has migrat	-2	An industrious clan has migrated into the area. They mine for gold but are also making people angry with their bad ale-drinking habits and boisterous demeanor.	mountain 1	landgold 20|incpop 20|unrest 10	
457	Magic is suffusing this realm.	-2	Magic is suffusing this realm. The very air is crystallizing into gems of magic.	pop0ok 1|magic 3|land 1	3d6vis A	
458	Magic is suffusing this realm.	-2	Magic is suffusing this realm. The very sea is crystallizing into gems of magic.	pop0ok 1|magic 3|land 0	3d6vis W	
459	A malevolent conjurer, jealous	2	A malevolent conjurer, jealous of your power, has sent a demon to slay one of your commanders.	pop0ok 1|turn 30|commander 1|magic 0|land 1	assassin 526	
460	An alien being has been sighte	2	An alien being has been sighted, skulking near sites of mystical power.	magic 1|notnation 89	unrest 10|stealthcom 443|decscale Drain	
461	The wise ruler of the realm ha	-1	The wise ruler of the realm has invested in roads and bridges.	order 3|land 1|minpop 100	landgold 25|landprod 20	
462	A law has been decreed against	-2	A law has been decreed against sodomy.	chaos 2|minpop 10	unrest 5|decscale2 Turmoil	
463	The tax collector has indulged	2	The tax collector has indulged in gluttonous orgies at the expense of the treasury.	turn 4|chaos 2	taxboost -100	
464	A charismatic preacher of fore	2	A charismatic preacher of foreign faith has turned many away from ##godname##. Pogroms against the defectors have been initiated.	dominion 1|turn 10|minpop 10	incdom -3|kill 2	
465	Epidemic dysentery is spreadin	2	Epidemic dysentery is spreading.		incscale2 Sloth	
466	A harsh law against vagrancy h	-1	A harsh law against vagrancy has been decreed.	order 1|minpop 10	landprod 25|kill 1	
467	The ruler of the province has 	-2	The ruler of the province has been able to enforce an existing law, giving the government monopoly on gambling.	order 2|minpop 10	landgold 15|unrest 10	
468	A successful traders guild has	-2	A successful traders guild has moved their headquarters here.	luck 2|minpop 150	landgold 15	
469	A tribe of subterranean goblin	-2	A tribe of subterranean goblins have emerged. They are wealthy and spendthrift with their silver, but cause trouble wherever they go.	chaos 1|minpop 150|mountain 1|magic 0	landgold 15|unrest 10|incscale Turmoil	
470	People have been investing in 	2	People have been investing in a pyramid game, that has now deflated.	turn 4|chaos 1|minpop 150|unluck 1	taxboost -100|unrest 30	
471	One of your researchers stumbl	1	One of your researchers stumbled upon an ancient skin-bound tome and read a passage aloud. Unfortunately all those who happened to listen have been cursed for the rest of their miserable lives.	researcher 1	curse 5	
472	Some of your followers were se	-1	Some of your followers were sent to retrieve the rumored riches of an ancient tomb situated in the eastern parts of this realm. They returned, carrying a meager sum of gold, cursed by its undead wardens.	pop0ok 1|mintroops 10|unluck 1	curse 10|gold 34	
473	Miasmatic fumes have risen fro	1	Miasmatic fumes have risen from the swamp, bringing pestilence to those living or traveling in the surrounding area.	swamp 1|unluck 1|turn 10	disease 10|kill 10	
474	A failed experiment caused a f	1	A failed experiment caused a fire in the lab. It was dowsed with the most quickly available fluid, a barrel of goats blood. Unfortunately, the malignant fumes thus created spread quite far from the building. Those exposed have suffered diverse unnatural effects.	9C00 1|pop0ok 1|lab 1|magic 1|land 1|targorder 4	disease 5|curse 3|gainaff 4096|gainaff 4096	
475	Something has gone wrong in th	2	Something has gone wrong in the arcane laboratory	9C00 1|pop0ok 1|lab 1|targorder 4|E900 1|turn 15	gainaff 4096	
476	Something has gone horribly wr	2	Something has gone horribly wrong in the arcane laboratory	9C00 1|pop0ok 1|lab 1|unluck 1|targorder 4|turn 15	gainaff 4194304|gainaff 4194304	
477	There was an accident in the a	2	There was an accident in the arcane laboratory.	9C00 1|pop0ok 1|lab 1|researcher 1|turn 15	researchaff 1073741824	
478	One of your researchers stumbl	1	One of your researchers stumbled upon forbidden lore.	9C00 1|pop0ok 1|lab 1|researcher 1|turn 15	researchaff 2	
479	A mage happened to mistake one	1	A mage happened to mistake one elixir for the other.	9C00 1|pop0ok 1|lab 1|researcher 1|turn 5	researchaff 0	
480	Something has gone quite wrong	1	Something has gone quite wrong in the arcane laboratory. Magical energies were released, shrinking one of your mages!	9C00 1|pop0ok 1|lab 1|researcher 1|turn 15	researchaff 0	
481	Something has gone quite wrong	1	Something has gone quite wrong in the arcane laboratory. A rift in the fabric of reality was briefly opened and one of your mages glimpsed the horror beyond!	lab 1|researcher 1|turn 15	researchaff 2097152	
482	Something has gone horribly wr	2	Something has gone horribly wrong in the arcane laboratory.	lab 1|unluck 2|researcher 1|turn 15	researchaff 0|researchaff 0	
483	Something went wrong when one 	2	Something went wrong when one of your mages attempted a ritual spell. A rift in the fabric of reality was created and a malevolent being from beyond slipped through.	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 15	2700 6|assassin 753	
484	Something went horribly wrong 	2	Something went horribly wrong when one of your mages attempted a newly researched conjuring spell.	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 15|land 1|noera 0	2700 6|assassin 467	
485	One of your researchers discov	2	One of your researchers discovered forbidden knowledge and has attracted unwanted attention.	researcher 1|turn 15	2700 3|assassin 307	
486	Bad omens.	1	Bad omens.	9C00 1|pop0ok 1|unluck 1	incscale Misfortune	
487	Good omens.	-1	Good omens.	9C00 1|pop0ok 1|luck 0	decscale Misfortune	
488	People are taking some extra t	1	People are taking some extra time off from their chores.	lazy 1|minpop 20	incscale Sloth	
489	People here are realizing they	2	People here are realizing they don't like to work.	lazy 1|minpop 20	incscale3 Sloth	
490	This is truly a land of plenty	2	This is truly a land of plenty. Since people no longer have to work for food, they are becoming less industrious. Some just hang around, waiting for something to happen.	lazy 1|minpop 30|heat 1|growth 1	incscale3 Sloth|landprod -10	
491	People have not bothered to ho	1	People have not bothered to hoard food for winter. Dire consequences now follow.	lazy 3|season 3|cave 0	kill 10	
492	Fields have not been tended pr	1	Fields have not been tended properly.	lazy 2|season 1|land 1	incscale Death	
493	Taxes have been lowered in an 	2	Taxes have been lowered in an attempt to appease the unruly commoners.	minunrest 20|lazy 1	landgold -8|unrest -6	
494	One of your mages has been toi	-1	One of your mages has been toiling diligently outside working hours, fashioning a wondrous gift.	researcher 1|prod 2	magicitem 1	
495	People are working hard, to th	-2	People are working hard, to the benefit of the realm. Taxes have been raised.	prod 2|maxunrest 0|minpop 80	landprod 5|landgold 10	
496	Taxes have been raised by the 	-1	Taxes have been raised by the righteous governor of the realm. He wisely aims to improve defenses.	order 1|prod 1|minpop 20	landgold 10|defence 10	
497	The lawgivers of this land are	-2	The lawgivers of this land are effectively rooting out unlawful elements. A famous criminal leader has recently been tried and hanged.	order 3|minpop 20	landgold 15|unrest -10	
498	Tax collectors have been threa	2	Tax collectors have been threatened and, in some cases, mysteriously disappeared.	chaos 3	landgold -10	
499	Disease is spreading.	1	Disease is spreading.	death 1|minpop 20|turn 10	kill 10|disease 1	
500	Rivers have swollen, flooding 	1	Rivers have swollen, flooding parts of the land.	freshwater 1|land 1|season 2|heat 0	kill 10|C300 0	
501	Famine has struck the land.	1	Famine has struck the land.	death 0|turn 10	kill 5|incscale Death	
502	Severe famine has struck the l	1	Severe famine has struck the land.	death 0|unluck 1|turn 10	kill 15|incscale Death	
503	Rivers have swollen, flooding 	1	Rivers have swollen, flooding parts of the land.	freshwater 1|land 1|season 2|unluck 1	kill 10|C300 0	
504	Disease is spreading.	1	Disease is spreading.	death 1|minpop 20|unluck 1|turn 10	kill 10|disease 2	
505	The sea is being polluted by t	1	The sea is being polluted by the crowded settlements in this province.	minpop 300|land 0	incscale Death|emigration 5	
506	A new breed of mosquitoes are 	1	A new breed of mosquitoes are infesting the swamps, spreading disease in the area.	swamp 1|heat 0	kill 1|disease 3	
507	Some of your magic pearls turn	2	Some of your magic pearls turned out to be fake!	9C00 1|pop0ok 1|gem 4|unluck 1	gemloss S	
508	One of your dwarven smiths has	-2	One of your dwarven smiths has been working diligently to fashion a magic item [Star of Heroes].	monster 323|prod 1	magicitem 9	
509	One of your smiths has been wo	-2	One of your smiths has been working diligently to fashion a magic item [Faithful].	monster 325|prod 1	magicitem 9	
510	An old dwarf in your service h	-2	An old dwarf in your service has fashioned a smith's hammer imbued with his power and skill.[Dwarven Hammer]	monster 323|prod 1	magicitem 9	
511	An old dwarf in your service h	-2	An old dwarf in your service has forged a hammer.[Hammer of the Mountains]	monster 323|prod 1	magicitem 9	
512	The tax collector has been way	1	The tax collector has been waylaid!	turn 4|chaos 2	taxboost -100|unrest 15	
513	Meddling with dark arts, your 	1	Meddling with dark arts, your necromancer has attracted unwanted attention. Spirits from the nether realms now haunt this land in search for the mage. They attack indiscriminately.	pop0ok 1|turn 12|pathdeath 1	assassin 566	
514	One of your mages has befriend	-1	One of your mages has befriended some magic beings.	pathnature 1|magic 1|land 1	nation -2|1d6units 394	
515	One of your mages has befriend	-1	One of your mages has befriended some magic beings.	pathwater 1|magic 1|land 0	nation -2|1d6units 1058	
516	One of your mages is being har	-1	One of your mages is being harassed by a gang of imps. They are annoying but might be put to some use.	pop0ok 1|pathblood 1|magic 1|land 1	nation -2|1d6units 303	
517	One of your mages has befriend	-1	One of your mages has befriended some magic beings.	pathearth 1|magic 1|land 1	nation -2|1d6units 345	
518	One of your trolls has fetched	-1	One of your trolls has fetched his cousins.	pop0ok 1|land 1|monster 518	nation -2|2d6units 518	
519	One of your trolls has fetched	-1	One of your trolls has fetched his cousins.	pop0ok 1|land 0|monster 564	nation -2|2d6units 564	
520	Long live the King of Old! A K	2	Long live the King of Old! A King of the Mound and his host rises to claim what was once their domain.	death 1|unluck 1|turn 16|land 1	incdom 1|com 188|addequip 2|6d6units 194|A600 195|2d6units 189	
521	Long live the King of Old! A K	2	Long live the King of Old! A King of the Mound rises to claim what was once his.	pop0ok 1|death 1|unluck 0|turn 16|land 1	com 188|addequip 2|4d6units 194|4d6units 194	
522	Long live the King of Old! A K	-1	Long live the King of Old! A King of the Mound rises to join your cause.	death 1|fornation 54|turn 16|land 1|pop0ok 1	nation -2|com 188|addequip 2|4d6units 194|A300 189	
523	Long live the King of Old! A K	-2	Long live the King of Old! A King of the Mound rises to join your cause.	death 3|luck 1|turn 16|land 1|pop0ok 1	nation -2|com 188|addequip 2|4d6units 194|A300 189	
524	Dabbling in blood magic is fra	2	Dabbling in blood magic is fraught with dangers. A horde of vicious imps have managed to escape the summoning circle!	pathblood 1|turn 20|lab 1|land 1	assassin 303|assassin 303|assassin 303|assassin 303	
525	A mage in your service has str	-2	A mage in your service has struck a deal with infernal powers.	9C00 1|pop0ok 1|pathblood 1|land 1|chaos 1|turn 10	nation -2|1d6units 304|kill 10	
526	When traveling through the woo	-1	When traveling through the woods, one of your mages liberated some faeries held captive by a hideous troll.	pathnature 1|forest 1|lab 0|fort 0	nation -2|2d6units 592	
527	When investigating the swamp, 	-1	When investigating the swamp, one of your commanders rescued a traveling adventurer from quicksand.	pathnature 1|swamp 1|lab 0|fort 0	nation -2|com -13|addequip 1	
528	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 20	2700 6|assassin 750	
529	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 20	2700 6|assassin 751	
530	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 20	2700 6|assassin 752	
531	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 20	2700 6|assassin 753	
532	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages ignored the runes of warning on its front and attempted a spell gleaned from a forbidden tome. 	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 20	2700 6|assassin 754	
533	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	9C00 1|pop0ok 1|researcher 1|unluck 2|turn 20	2700 6|assassin 755	
534	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	researcher 1|unluck 2|turn 20	2700 6|assassin 756	
535	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a most forbidden tome. 	researcher 1|unluck 2|turn 20	2700 6|assassin 757	
536	Something went horribly wrong 	2	Something went horribly wrong when one of your unfortunate mages attempted a spell gleaned from a forbidden tome. 	researcher 1|unluck 2|turn 20	2700 6|assassin 758	
537	Tired of the strict laws and m	2	Tired of the strict laws and multitude of regulations governing their lives, the people of this province has embraced a foreign faith, hoping for liberty.	order 3|minpop 20|turn 8	nation -1|newdom 3	
538	Sick of harsh laws and repress	2	Sick of harsh laws and repressive taxation, a large part of of the inhabitants have migrated elsewhere.	7200 9|order 3|minpop 20	emigration 20	
539	The over-zealous governor has 	-1	The over-zealous governor has struck down hard on unruly elements in the society.	order 1|minunrest 15|minpop 20	kill 2|decscale2 Turmoil|unrest -20	
540	Some unnecessary laws have bee	1	Some unnecessary laws have been abolished.	chaos 2|minpop 20	incscale3 Turmoil|unrest 10	
541	The governor of the province h	2	The governor of the province has died from a wasting disease. His incompetent brother-in-law has now taken over the administrative duties.	order 0|minpop 20|capital 0	incscale3 Turmoil|landgold -5|landprod -5	
542	Corruption flourishes, diminis	2	Corruption flourishes, diminishing tax returns.	chaos 2|minpop 20	landgold -10	
543	The effective government of th	-2	The effective government of this province is giving increased tax returns.	order 2|minpop 100	landgold 10	
544	An atheistic movement has gain	2	An atheistic movement has gained followers. They claim that the current efficiency of production only enrichens those in power and demands that the produce of society be returned to the people.	prod 2|dominion 2|minpop 20|turn 8	unrest 10|incdom -2	
545	Foreign priests have infiltrat	1	Foreign priests have infiltrated the local church of ##godname## and corrupted central tenets of faith!	dominion 1|maxdominion 4|turn 8	nation -1|newdom 5	
546	A huge copper bull was excavat	2	A huge copper bull was excavated from an ancient buried settlement. The proud locals put it in the shrine, somewhat covering your effigy. A visiting leper was cured and now a cult has formed around the foreign idol.	dominion 1|maxdominion 3|minpop 20|turn 8	nation -1|newdom 3	
547	A miracle has been performed! 	2	A miracle has been performed! Unfortunately the miracle worker adheres to a rival faith.	dominion 1|maxdominion 4|minpop 20|turn 8	incdom -3	
548	People are being sacrificed in	1	People are being sacrificed in the woods. It may be just a rumor.	forest 1|minpop 5	kill 1|unrest 5	
549	An enterprising taskmaster has	-1	An enterprising taskmaster has rounded up some renegade slaves and forced them back into service. He was paid handsomely from the treasury.	fornation 27|order 1|land 1|turn 8	nation -2|A600 172|com 169|gold -100	
550	A Marshmaster has tamed some b	-1	A Marshmaster has tamed some beasts from the swamp.	swamp 1|monster 937|turn 8	nation -2|1d6units 1358	
551	Some serpents from the swamp h	-1	Some serpents from the swamp have been tamed.	swamp 1|monster 937|turn 8	nation -2|1d6units 403	
552	A skillful Marshmaster has man	-1	A skillful Marshmaster has managed to catch and tame a beast from the swamp.	swamp 1|monster 937|turn 8	nation -2|1d6units 2196	
553	An enterprising taskmaster has	-1	An enterprising taskmaster has rounded up some renegade slaves and forced them back into service. He was paid handsomely from the treasury.	fornation 75|order 1|land 1|turn 8	nation -2|A600 172|com 169|gold -100	
554	A Marshmaster has tamed some b	-1	A Marshmaster has tamed some beast from the swamp.	fornation 75|swamp 1|monster 937|turn 8	nation -2|1d6units 1358	
555	Some serpents from the swamp h	-2	Some serpents from the swamp have been tamed.	fornation 75|swamp 1|monster 937|turn 8	nation -2|1d6units 403	
556	A Marshmaster has managed to c	-2	A Marshmaster has managed to catch and tame a beast from the swamp.	fornation 75|swamp 1|monster 937|turn 8	nation -2|1d6units 2196	
557	Swamp-fever has swept the huma	1	Swamp-fever has swept the human population.	fornation 75|swamp 1|turn 10	kill 25	
558	The autumn has been extraordin	1	The autumn has been extraordinarily wet, expanding the marshlands. Toads proliferate and a vicious breed has been attacking travelers.	season 2|swamp 1|fort 0|lab 0|commander 1	2700 2|assassin 1358	
559	A swamp drake has been ravagin	1	A swamp drake has been ravaging the borders of the marshland. Gnawed remains of unfortunate travelers have been found.	season 2|swamp 1|fort 0|lab 0|commander 1	2700 2|assassin 2196	
560	An animist and his followers a	2	An animist and his followers are trying to reclaim their land. [Snake Ring]	swamp 1|turn 7|fort 0	com 552|addequip 9|A300 1358|1d6units 578	
561	People have been found drowned	1	People have been found drowned in the swamp. Some say they are the victims of human sacrifice performed to appease spirits of the wetlands.	swamp 1|minpop 5	kill 1|unrest 5	
562	A ragged traveler appeared on 	-2	A ragged traveler appeared on the borders of the waste. He claimed to have found the ruins of the fabled city of K'leng. Before he was driven back into the waste by villagers offended by his preposterous statement, he offered as proof an item he supposedly found on the gilded altar of a temple in the ruined city.	waste 1|magic 1	magicitem 3	
563	Your servant dabbles in arts b	2	Your servant dabbles in arts both dark and dangerous. The vengeful dead have been stirred!	turn 20|land 1|pathdeath 1	incscale3 Death|stealthcom 676|addequip 3|AB00 675|AB00 675	
564	A hunter stumbled upon some st	-2	A hunter stumbled upon some strange creatures feasting in a sunlit glen in the woods. When he approached, they vanished in the blink of an eye. Left on the ground were some unnaturally large acorns. [Handful of Acorns]	forest 1|order 0|magic 0|noseason 3	magicitem 9	
565	Strange creatures have been se	-1	Strange creatures have been seen in the borderlands. Some say they must have come by magical means from other worlds. [Gateway]	9C00 1|pop0ok 1|hiddensite 1	decscale Drain	
566	The Monolith has attracted a g	-1	The Monolith has attracted a group of worshipers. [Monolith]	foundsite 1	nation -2|4d6units 107|com 104	
567	A mage has come to study the m	-1	A mage has come to study the magics of the Mirror Palace. [Mirror Palace]	foundsite 1	nation -2|com 341|incdom 1	
568	A creature has emerged from th	1	A creature has emerged from the Tar Pits to wreak havoc. [Tar Pits]	pop0ok 1|foundsite 1|pop0ok 1	com 3714	
569	The Gold Apple Tree has borne 	-1	The Gold Apple Tree has borne fruit this autumn! [Gold Apple Tree]	foundsite 1|season 2|cave 0	gold 600|3d6vis F	
570	A farmer has found a golden ap	-1	A farmer has found a golden apple. [Gold Apple Tree]	hiddensite 1	gold 300	
571	The power of the earth is stro	-2	The power of the earth is strong in this land. The Gold Apple Tree is bearing ample fruit! [Gold Apple Tree]	foundsite 1|growth 1	landgold 100	
572	Hot winds are sweeping from th	1	Hot winds are sweeping from the Plain of Perpetual Drought. [Plain of Perpetual Drought]	pop0ok 1|site 1|noseason 3|heat 0	decscale2 Cold	
573	There has been an explosion at	1	There has been an explosion at the Alchemists Guild! Repairs have been costly and one of the researchers was injured. [Alchemists Guild]	pop0ok 1|foundsite 1|researcher 1|turn 15	researchaff 4096|gold -200	
574	There has been an explosion at	1	There has been an explosion at the Alchemists Guild! Repairs have been costly. [Alchemists Guild]	foundsite 1	gold -200	
575	There has been an explosion at	-1	There has been an explosion at the Alchemists Guild! Interestingly, an unpredicted reaction produced a huge amount of magical gems. [Alchemists Guild]	foundsite 1	2d6vis Elemental	
576	Some alchemists have gathered 	-1	Some alchemists have gathered to trade secrets and find ingredients for their research. One of them has been recruited into service. [Alchemists Guild]	hiddensite 1|land 1	nation -2|com 551|gold -30	
577	Strange lights have been seen 	-1	Strange lights have been seen in the boglands. [Bog of Strange Lights]	hiddensite 1	decscale Drain	
578	A sage has been studying the f	-1	A sage has been studying the flowers of the wetlands. He claims to have attracted the attention of some strange beings that now follow him around. [Bog of Strange Lights]	hiddensite 1	nation -2|com 478|A300 527	
579	A villager claims to have seen	-1	A villager claims to have seen a cliff of pure copper in the wilderness. [Copper Cliff]	hiddensite 1		
580	A villager claims to have seen	2	A villager claims to have seen a cliff of pure copper in the wilderness.	9600 1		
581	There has been a volcanic erup	1	There has been a volcanic eruption! [Volcano]	site 1	kill 10|unrest 10	
582	There has been a catastrophic 	1	There has been a catastrophic volcanic eruption! Smoke is blotting out the sun and falling ashes are destroying the crops and making people sick. [Volcano]	site 1|minpop 10|noseason 3	kill 20|unrest 20|incscale Cold|incscale Cold	
583	The volcano has stirred. Creat	1	The volcano has stirred. Creatures of fire and molten stone are laying waste to the surrounding land! [Volcano]	pop0ok 1|site 1	com 640|A300 640|decscale Cold	
584	An adept of Pyriphlegeton has 	-1	An adept of Pyriphlegeton has arrived to study the volcanic activity in the area. He was persuaded to swear allegiance after having examined the volcano. [Volcano]	pop0ok 1|site 1	nation -2|com 99	
585	A powerful mage has arrived in	-2	A powerful mage has arrived in the province. He is traveling to his fellow brothers of the Golden Order but has been persuaded to serve your will.[Tower of the Golden Order]	pop0ok 1|nearbysite 1|dominion 2|land 1	nation -2|com 101	
586	There has been a schism among 	2	There has been a schism among the Adepts of the Golden Order, escalating to a full-blown sorcerors' enfilade! [Tower of the Golden Order]	pop0ok 1|foundsite 1	com 101|addequip 3|com 101|com 101	
587	A powerful mage has arrived in	-1	A powerful mage has arrived in the province. He is traveling to his fellow brothers of the Silver Order. [Tower of the Silver Order]	pop0ok 1|nearbysite 1|land 1		
588	A powerful mage has arrived in	-2	A powerful mage has arrived in the province. He is traveling to his fellow brothers of the Silver Order but has been persuaded to serve your will. [Tower of the Silver Order]	pop0ok 1|nearbysite 1|dominion 2|land 1	nation -2|com 100	
589	There has been a schism among 	2	There has been a schism among the Adepts of the Silver Order, escalating to a full-blown sorcerors' enfilade! [Tower of the Silver Order]	pop0ok 1|foundsite 1	com 100|addequip 3|com 100|com 100	
590	A Wizard has been traveling th	2	A Wizard has been traveling the province in search of a hidden Academy of Magics.	pop0ok 1|land 1|9600 2		
591	A Wizard has been traveling th	-1	A Wizard has been traveling the province in search of a hidden Academy of Magics. [Academy of High Magics]	pop0ok 1|hiddensite 1		
592	A mighty wizard from the local	-2	A mighty wizard from the local academy has come to serve. [Academy of High Magics]	pop0ok 1|site 1	nation -2|com 312|1d6units 527	
593	Magical beings have escaped fr	2	Magical beings have escaped from the Academy! [Academy of High Magics]	pop0ok 1|foundsite 1	com 466|1d6units 2159|A300 297|com 466	
594	Some magical beings have escap	1	Some magical beings have escaped from the Academy! [Academy of High Magics]	pop0ok 1|foundsite 1	com 466|1d6units 466	
595	Some magical beings have escap	1	Some magical beings have escaped from the Academy! [Academy of High Magics]	foundsite 1	com 514|1d6units 514	
596	Some magical beings have escap	1	Some magical beings have escaped from the Academy! [Academy of High Magics]	foundsite 1	com 532|1d6units 532	
597	Enormous storm clouds have gat	2	Enormous storm clouds have gathered, unleashing deadly bolts of lightning. [Cloud Abode]	hiddensite 1	kill 1	
598	There are rumors of a hidden s	-1	There are rumors of a hidden site of mystical power. Strange cloud formations have gathered. [Cloud Abode]	hiddensite 1		
599	A mage has appeared in the mid	-1	A mage has appeared in the midst of a thunderstorm. He seeks a site of power. [Cloud Abode]	pop0ok 1|hiddensite 1|noseason 3	nation -2|com 92|addequip 1	
600	Hideous creatures have come fr	-1	Hideous creatures have come from a marshland known by locals as the Witches Bog. [Witches Bog]	site 1|land 1	com 578|2d6units 578|com 578	
601	Malevolent Conjurers have unle	1	Malevolent Conjurers have unleashed demons! [Black Tower]	pop0ok 1|site 1	com 304|2d6units 304	
602	People are disappearing in inc	1	People are disappearing in increasing numbers. Strangely, most of them have been young and innocent virgins. [Black Tower]	site 1	unrest 20	
603	The commoners are protesting a	1	The commoners are protesting against the dark practices at the Black Tower. [Black Tower]	site 1	unrest 20	
604	The Conjurers at the Black Tow	-1	The Conjurers at the Black Tower have summoned and fettered a devil. [Black Tower]	pop0ok 1|site 1	nation -2|com 304	
605	A Conjurer at the Black Tower 	1	A Conjurer at the Black Tower has summoned a demon beyond his control! [Black Tower]	site 1|monster 95	assassin 304	
606	An man missing for many moons 	-1	An man missing for many moons has reappeared. He claims to have wandered for weeks through vast underground passages, only to reappear close to home. No one believes it. [Endless Caverns]	hiddensite 1		
607	Monsters have crawled from the	1	Monsters have crawled from the Endless Caverns! [Endless Caverns]	foundsite 1|pop0ok 1	com 518|2d6units 518	
608	Monsters have crawled from the	1	Monsters have crawled from the Endless Caverns! [Endless Caverns]	foundsite 1	com 782|2d6units 782	
609	Madmen flock to the monolith. 	-1	Madmen flock to the monolith. [Monolith]	foundsite 1	nation -2|2d6units 962	
610	A knight and his followers hav	-1	A knight and his followers have come to the Ancient Temple in search of the true God. [Ancient Temple]	foundsite 1|noera 1	nation -2|com 2359|2d6units 2360	
611	A heroine has arrived in searc	-2	A heroine has arrived in search of The Sacred Glen. [The Sacred Glen]	site 1|noera 1	nation -2|com 2332	
612	Creatures have emerged from th	1	Creatures have emerged from the magical woods! [Twisting Woods]	site 1	com 453|com 453|2d6units 455|1d6units 468|2d6units 455	
613	Magical beings from the forest	1	Magical beings from the forest are trying to reclaim what was taken. [Forest of the Dead]	pop0ok 1|site 1	com 714|com 714|1d6units 313|1d6units 313|1d6units 313	
614	A pack of animals have been en	-1	A pack of animals have been enthralled by the Animist.	monster 552|land 1	nation -2|2d6units 549|1d6units 463	
615	A cult is growing. They worshi	1	A cult is growing. They worship Fire and do not pay heed to the priests of ##godname##. [Magus Temple]	hiddensite 1|minpop 10|mydominion 1	incdom -3|decscale Cold	
616	A cult is growing. They worshi	-2	A cult is growing. They worship Fire and do not pay heed to the priests of ##godname##. Their leader is a powerful mage. [Magus Temple]	hiddensite 1|minpop 10|mydominion 1	incdom -3|decscale Cold|nation -2|com 480	
617	A winter solstice, an abundanc	-1	A winter solstice, an abundance of magical gems were found in the Solar Circle. [Solar Circle]	foundsite 1|season 3|pop0ok 1	3d6vis F	
618	A summer solstice, an abundanc	-1	A summer solstice, an abundance of magical gems were found in the Solar Circle. [Solar Circle]	foundsite 1|season 1|pop0ok 1		
619	There are rumors of a hidden s	2	There are rumors of a hidden site of mystical power.	9600 1|unluck 0	decscale Cold|nation 0	
620	There are rumors of a hidden s	-1	There are rumors of a hidden site of mystical power. A man claims to have seen a Fountain of Fire in his dreams. Actually, some fire gems were later found in the belly of a goat who had strayed into the wilderness. [Fountain of Fire]	hiddensite 1	decscale Cold|1d6vis F	
621	There are rumors of a hidden s	-1	There are rumors of a hidden site of mystical power. A man claims to have seen a Fountain of Fire in his dreams. Actually, some fire gems were later found in the belly of a goat who had strayed into the wilderness.	season 1|land 1	decscale Cold|1d6vis F	
622	A goatherd has found a strange	-1	A goatherd has found a strange pillar in the wilderness. At its base, some magical gems were found. [Bronze Pillar]	hiddensite 1	1d6vis F	
623	There are rumors of a hidden s	-1	There are rumors of a hidden site of mystical power. Sometimes, in the wilderness, the clanging of hammer against steel has been heard echoing in the night. Also, a magic item has been found hidden under a rock. [The Steel Ovens]	site 1	decscale Cold|magicitem 3	
624	The Wild Forest is working its	1	The Wild Forest is working its magic. A plague of lycanthropy has swept the land. The unfortunate victims howl and rage under the moon. [Wild Forest]	site 1|noseason 3	com 633|2d6units 633|com 633	
625	A smallish knight has appeared	-1	A smallish knight has appeared on his steed. He seeks the fabled Forest of Truffles. [Forest of Truffles]	nearbysite 1|noera 1|land 1	nation -2|com 1196	
626	A beardless dwarf has appeared	-1	A beardless dwarf has appeared. He seeks the fabled Forest of Truffles. [Forest of Truffles]	nearbysite 1|noera 1|land 1	nation -2|com 1198	
