id	name	wpn1	wpn2	wpn3	wpn4	wpn5	wpn6	wpn7	armor1	armor2	armor3	armor4	rt	reclimit	basecost	rcost	size	ressize	hp	prot	mr	mor	str	att	def	prec	enc	mapmove	ap	ambidextrous	mounted	mountmnr	skilledrider	reinvigoration	leader	undeadleader	magicleader	startage	maxage	hand	bow	head	body	foot	misc	crownonly	pathcost	startdom	bonusspells	F	A	W	E	S	D	N	G	B	H	rand1	nbr1	link1	mask1	rand2	nbr2	link2	mask2	rand3	nbr3	link3	mask3	rand4	nbr4	link4	mask4	holy	inquisitor	mind	inanimate	undead	demon	magicbeing	stonebeing	animal	coldblood	female	forestsurvival	mountainsurvival	wastesurvival	swampsurvival	cavesurvival	aquatic	amphibian	pooramphibian	float	flying	stormimmune	teleport	immobile	noriverpass	sailingshipsize	sailingmaxunitsize	stealthy	illusion	spy	assassin	patience	seduce	succubus	corrupt	heal	immortal	domimmortal	reinc	noheal	neednoteat	homesick	undisciplined	formationfighter	slave	standard	inspirational	taskmaster	beastmaster	bodyguard	waterbreathing	iceprot	invulnerable	slashres	bluntres	pierceres	shockres	fireres	coldres	poisonres	voidsanity	darkvision	blind	animalawe	awe	haltheretic	fear	berserk	cold	heat	fireshield	banefireshield	damagerev	poisoncloud	diseasecloud	slimer	mindslime	reform	regeneration	reanimator	poisonarmor	petrify	eyeloss	ethereal	ethtrue	deathcurse	trample	trampswallow	stormpower	firepower	coldpower	darkpower	chaospower	magicpower	winterpower	springpower	summerpower	fallpower	forgebonus	fixforgebonus	mastersmith	resources	autohealer	autodishealer	alch	nobadevents	event	insane	shatteredsoul	leper	taxcollector	gem	gemprod	chaosrec	pillagebonus	patrolbonus	castledef	siegebonus	incprovdef	supplybonus	incunrest	popkill	researchbonus	drainimmune	inspiringres	douse	adeptsacr	crossbreeder	makepearls	pathboost	allrange	voidsum	heretic	elegist	shapechange	firstshape	secondshape	secondtmpshape	landshape	watershape	forestshape	plainshape	xpshape	unique	fixedname	special	nametype	summon	n_summon	autosum	n_autosum	batstartsum1	batstartsum2	domsummon	domsummon20	raredomsummon	bloodvengeance	bringeroffortune	realm1	realm2	realm3	batstartsum3	batstartsum4	batstartsum5	batstartsum1d6	batstartsum2d6	batstartsum3d6	batstartsum4d6	batstartsum5d6	batstartsum6d6	turmoilsummon	coldsummon	scalewalls	deathfire	uwregen	shrinkhp	growhp	transformation	startingaff	fixedresearch	divineins	lamialord	preanimator	dreanimator	mummify	onebattlespell	fireattuned	airattuned	waterattuned	earthattuned	astralattuned	deathattuned	natureattuned	bloodattuned	magicboostF	magicboostA	magicboostW	magicboostE	magicboostS	magicboostD	magicboostN	magicboostALL	eyes	heatrec	coldrec	spreadchaos	spreaddeath	corpseeater	poisonskin	bug	uwbug	spreadorder	spreadgrowth	startitem	spreaddom	battlesum5	acidshield	drake	prophetshape	horror	enchrebate50p	latehero	sailsize	uwdamage	landdamage	rpcost	buffer	rand5	nbr5	link5	mask5	rand6	nbr6	link6	mask6	mummification	diseaseres	raiseonkill	raiseshape	sendlesserhorrormult	xploss	theftofthesunawe	incorporate	hpoverslow	blessbers	dragonlord	curseattacker	uwheat	slothresearch	horrordeserter	mindvessel	elementrange	sorceryrange	older	disbelieve	firerange	astralrange	landreinvigoration	naturerange	beartattoo	horsetattoo	reincarnation	wolftattoo	boartattoo	sleepaura	snaketattoo	appetite	astralfetters	foreignmagicboost	templetrainer	infernoret	kokytosret	addrandomage	unsurr	combatcaster	homeshape	speciallook	aisinglerec	nowish	bugreform	mason	onisummon	sunawe	spiritsight	defenceorganiser	invisible	startaff	ivylord	spellsinger	magicstudy	triplegod	triplegodmag	unify	triple3mon	yearturn	fortkill	thronekill	digest	indepmove	unteleportable	reanimpriest	stunimmunity	entangle	alchemy	woundfend	singlebattle	falsearmy	summon5	ainorec	researchwithoutmagic	slaver	autocompete	deathparalyze	adventurers	cleanshape	reqlab	reqtemple	horrormarked	changetargetgenderforseductionandseductionimmune	corpseconstruct	guardianspiritmodifier	isashah	iceforging	isayazad	isadaeva	blessfly	plant	clockworklord	commaster	comslave	minsizeleader	snowmove	swimming	stupid	skirmisher	ironvul	heathensummon	unseen	illusionary	reformtime	immortalrespawn	nomovepen	wolf	dungeon	graphicsize	twiceborn	aboleth	tmpastralgems	localsun	tmpfiregems	defiler	mountedbeserk	lanceok	startheroab	minprison	uwfireshield	saltvul	landenc	plaguedoctor	curseluckshield	pathboostuw	pathboostland	noarmormapmovepenalty	farthronekill	hpoverflow	indepstay	polyimmune	horrormark	deathdisease	allret	percentpathreduction	aciddigest	beckon	slaverbonus	carcasscollector	mindcollar	labpromotion	mountainrec	indepspells	enchrebate50	summon1	randomspell	deathpower	deathrec	norange	insanify	reanimator	defector	nohof	batstartsum1d3	enchrebate10	undying	moralebonus	uncurableaffliction	autoblessed	wintersummon1d3	stygianguide	almostundead	end
895	Ear of the Lord	6							148				1		0	0	3	3	11	0	13	12	10	11	11	10	2	16	13						0					2		1	1	1	2												1		1																	1											1																60		1																																																																																																																																																																																																				1																																																																																																																																																																													
896	Eye of the Lord	16							148				1		0	0	3	3	12	0	13	12	11	12	12	10	2	16	13						50					2		1	1	1	2														1																	1											1																																																																																																			1					15																																																																																																														1																																																																																																																																																																													
897	Voice of the Lord	12							148				1		0	0	3	3	10	0	13	12	10	10	10	10	2	16	13						100					2		1	1	1	2														2																	1											1																																																																																																																																																																																																																						1																																																																																																																																																																													
898	Great Spider	65	261	262									1		0	0	7	7	26	14	14	10	11	12	10	10	2	16	14						50					0		0	0	0	2																																										1																																																15																																																																												891																																																																		-1	8																							1																																																																																																																																																																													
899	Hunter Spider	65	261										1		0	0	9	9	55	16	16	14	11	14	12	5	2	3	22						50					0		0	0	0	2																																										1																																																15																																																																												894																																																																		-1	8																							1																																																																																																																																																																													
900	Lord of Corruption	92											1		0	0	6	6	44	7	18	30	25	15	15	15	1	3	16						150	50				2	1	1	0	0	2					4						4		4																							1															1							65							15						1												25					15		15							10																																																						10																							1	Belial													-25																																																																				1																																													100	100			1									1																																																																																															7																				
901	Black Dryad	55											1		0	0	3	3	11	0	16	10	10	10	12	10	3	16	15						50	50				2		1	1	1	2										1	1	1		2																	1										1	1																60								1																																																																																																																																																																																														1																																																																																																																																																																													
902	Celestial Soldier	308							17	20			1		0	0	5	5	38	4	15	15	18	15	15	15	1	2	16						50		50		500	2		1	1	1	2																															1						1																																		1																																																																																																																																																																																									1																																																										1																																																																																																																			
903	Celestial Servant	317											1		0	0	6	6	48	4	14	14	24	9	9	9	1	2	12						50		50		500	2		1	1	1	2																															1						1																																		1																																																																																																																																																																																									1																																									3																	1																																																																																																																			
904	Demon of Heavenly Rivers	165							113				1		0	0	5	5	32	5	15	15	20	12	10	10	1	2	12						50		50		500	2		1	1	1	2																															1						1											1																							1																											4																																																																																																																																																														1																																																										1																																																																																																																			
905	Jade Emperor	92							159				1		0	0	9	9	110	3	18	30	20	10	10	10	4	20	12						150					2		1	1	1	2		60	3			1	1		1																																																																																																																															33																																																					4																																																																			1																																																										1																																																																																																																			
906	King of Deeper Earth	92											1		0	0	9	9	130	12	18	30	27	13	9	9	0	2	10						100		50		1000	2	1	1	1	0	2								5																													1	1					1						1																						1																			15																																																					1E																															1	Barathrus			3741	1																																																																													1																																																										1																																																																																																																			
907	Queen of the Deeps	90											1		0	0	8	8	65	0	18	30	18	15	15	10	0	2	10						100		50		1000	2	1	1	1	0	2							5																														1				1						1																			1					1													1	1	1			15	15																																																																																				1	Bathusma			3734	1																																																																													1																																																										1																																																																																																																			
908	Queen of the Lake	90											1		0	0	8	8	65	0	18	30	18	15	15	12	0	2	10						100		50		1000	2	1	1	1	0	2							5																														1				1							1																		1					1										400			1	1	1			15	15																																																																																				1	Limne																																																																																	1																																																										1																																																																																																																			
909	King of Banefires	348	92										1		0	0	9	9	54	0	18	30	20	15	9	10	0	2	14						100		50		1000	2	1	1	1	0	2					4					3																									1		1																																		1																	25		25							5			5		15												1																																																												1	Antrax																																																																																	1																																																										1																																																																																																																			
910	King of Magma	229	92										1		0	0	9	9	87	9	18	30	23	13	9	10	0	2	14						100		50		1000	2	1	1	1	0	2					5			1																													1																																		1																	25		15										10	12																			1																																																						1	Rhuax			640	2																																																																													1																																																										1																																																																																																																			
911	Queen of Thunder	231	185	185	185								1		0	0	8	8	45	0	18	30	16	15	13	13	0	5	30						100		50		1000	2	1	1	1	0	2						5																															1				1										1	1																			1																15			15																								1					4																																																							1	Thuella																																																																															100		1																																																										1																																																																																																																			
912	Queen of Clouds	231	185										1		0	0	8	8	45	0	18	30	14	13	15	13	0	5	30						100		50		1000	2	1	1	1	0	2						5																															1				1										1	1							1												1																15			15																								1					3																																																							1	Nephele			3725	1																																																																											100		1																																																										1																																																																																																																			
913	Vaetti Hag	543							15				1		0	0	2	2	7	0	14	9	8	8	8	10	3	12	10						10				100	2		1	1	1	2															100	1	1	63488																							1	1																40																															5																																																																-2																																																																																																							1																												60																																																																																																																																																	
914	Soulless Warrior	1							6	2			1		0	0	3	3	15	0	5	50	12	7	5	5	0	16	6						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
915	Soulless Warrior	8							12	2			1		0	0	3	3	15	0	5	50	12	7	5	5	0	16	6						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
916	Soulless Warrior	17							15				1		0	0	6	6	45	3	6	50	24	7	5	5	0	18	8						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																													1																																																																			
917	Soulless Warrior	17							13	20			1		0	0	6	6	45	3	6	50	24	7	5	5	0	18	8						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																													1																																																																			
918	Soulless Warrior	1							6				1		0	0	4	4	13	0	6	50	11	7	4	5	0	14	6						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
919	Soulless Warrior	31											1		0	0	3	3	17	0	5	50	13	7	4	5	0	14	6						10	50				2		1	1	1	2																																		1	1													1																						1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
920	Soulless Warrior	31							22				1		0	0	3	3	17	0	5	50	13	7	4	5	0	14	6						10	50				2		1	1	1	2																																		1	1													1																						1	1		1													1			15	25																					5																																																																																																																																																	1																																																													50																																																																																																																
921	Soulless Warrior	1											1		0	0	3	3	16	4	6	50	12	7	5	5	0	14	6						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
922	Soulless Warrior	1							12	2			1		0	0	3	3	16	4	6	50	12	7	5	5	0	14	6						10	50				2		1	1	1	2																																		1	1														1																					1	1		1													1			15	25																																																																																																																																																																						1																																																													50																																																																																																																
923	Warlock Apprentice	9											1		0	0	3	3	15	0	14	10	13	10	9	8	2	12	10						10				35	2		1	1	1	2									1				2																															1																																												25				50								3																																																										2																																																																																																		1																																																																																																																																																																													
924	Iron Pig	20											1		0	0	3	3	15	20	5	8	12	8	8	5	5	3	10						50					0		0	0	0	2																																							1			1																															1														-5																														1																																																																																																																																											1																																																																																																																																																																													
925	Tarrasque	319	823	535	532								1		0	0	10	10	245	19	18	30	27	13	9	10	4	1	8						50			770	1000	0		0	0	0	2																																													1																					1																								25							10							10																																																																																																																																																								1																																									10																																																																		1																																																																		
926	Demon of Heavenly Fires	320	321										1		0	0	4	4	24	0	15	15	15	13	10	13	1	3	12						50		50		500	2		1	1	1	2																															1						1														1																				1																	25												3																				1																																																																																																																																								1																																																										1																																																																																																																			
927	Noble	10							17	118	1		1		0	0	3	3	12	0	10	13	11	11	12	10	3	14	12			3565			100					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
928	Heavy Footman	308							17	118			1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
929	Heavy Footman	1							17	118	4		1		0	0	3	3	10	0	10	10	10	10	10	10	3	14	12						50					2		1	1	1	2																																																																																																																																																																																																																																																																1																																																																																																																																																																													
930	Khan	4	10	264					17	118	2		1		0	0	3	3	14	0	10	13	12	13	13	10	3	14	12			3576	4		150					2		1	1	1	2																																																																																																																																																	5																																																																																																															15																																																																																																																																																																													
931	Ivy King	92	92										1		0	0	6	6	63	7	16	16	19	13	9	8	0	2	12						50		50		1000	2	1	0	1	1	2											3																										1					1							1																						1														1	1				15				5																																																																																			145																																																																															1																																																														3																																							1																																																				4																				
932	Woodland Spirit	284											1		0	0	3	3	10	0	15	10	9	10	10	10	3	2	12						50					2		1	1	1	2																																									1	1																40								1					1	40																		15					4																			1																																																																																																																																														1																																																										1																																																																																																																			
933	King of Legends	9											1		0	0	3	3	35	8	17	30	16	12	9	10	0	20	8						50	100				2		1	1	1	2										3			3	3																	1			1	1																																				1															1		-10	15	25																																																																																					Mictlipoctli																																						2	2																																						5				1																																																										1																																																																																																																			
934	Feathered Serpent	239											1		0	0	5	5	20	5	18	14	11	14	10	12	3	3	10						100		50		300	0	0	1	0	0	2	1					2			3		3		2	3																	1						1			1		1			1						1																										1													15																																																																											935										Quetzalcoatl																																																																																	1																																																																																																											1																																																																		
935	Priest King	9							20				1		0	0	3	3	15	0	18	14	11	12	12	10	3	14	12						150				300	2		1	1	1	2						2			3		3		2	3																	1											1			1																																													15																																																																											934										Quetzalcoatl																																																																													5				1																																																																																																											1																																																																		
936	Eagle Priest	1	9						44				1		0	0	3	3	15	0	14	14	12	13	13	10	3	14	12	3					50					2		1	1	1	2						2							2	2																	1											1									1																																																																																																																												Tepeyocatl																																																																																	1																																																																																																																																																																													
937	Marshmaster	29											1		0	0	3	3	11	5	16	10	10	9	9	10	4	12	9						10					2		1	1	1	2							1			2	2				100	1	1	14848	10	1	1	14848																		1					1																																													10																																																																																																																																																																						1																																																																																																											1																																																																		
938	Barbarian Horseman	357	264						15	118	1		1		0	0	3	3	12	0	10	11	10	11	11	10	3	14	12			3574	2		50					2		1	1	1	2																																																																																																																																																	2																																																																																																															1																																																																																																																																																																													
939	Barbarian Heavy Horseman	4	10	264					17	118	2		1		0	0	3	3	12	0	10	12	10	11	11	10	5	14	12			3575	2		50					2		1	1	1	2																																																																																																																																																	2																																																																																																															1																																																																																																																																																																													
940	Master of the Five Elements	501											1		0	0	3	3	10	0	16	10	10	9	9	11	3	14	8						10				150	2		1	1	1	2					1	1	1	1			1			1	100	1	1	10112													1																																																																																																																																																																																																																																	1																																																																																																																																																																													
941	Celestial Master	502											2		0	0	3	3	10	0	16	10	10	8	8	11	3	14	8						10			275	300	2		1	1	1	2					1	1	2		1			1		2	100	1	1	19200	10	1	1	19200	100	1	1	13440					1																				1																				1																																																																																																																																																																																									1																																																										1																																																																																																																			
942	Immortal	345							502				1		0	0	3	3	9	0	17	10	9	8	8	11	3	14	10						50			550	1000	2		1	1	1	2						1					2																				1										1										1																1																																															1																			1																																										Ho Hsien-Ku																																																																																	1																																																																																																																																																																													
943	Immortal	345	344										1		0	0	3	3	13	0	18	13	11	15	14	13	3	14	12	3					150			550	1000	2		1	1	1	2					1	1	2		3					2																	1																				1																1																																																																																																												Lu Tung-Pin																																																																																	1																																																																																																																																																																													
944	Master With The Iron Crutch	326											1		0	0	3	3	12	0	17	15	10	11	11	11	3	10	8						10			865	500	2		1	1	1	2						2			2	2																					1																																				1																														5								5																																																																						Li T'ieh-Kuai																																																																																	1																																																										1			100																																																																																																																
945	Shade King	42											1		0	0	3	3	20	0	14	15	12	12	13	10	0	20	12						100	200				2		1	1	1	2														2																	1				1														1									40													1																		15	25																								1								3																																																					Tenebrus									442																																																																								1																																																										1																																																																																																																			
946	Lady of Spiders	7											1		0	0	3	3	11	0	17	12	9	11	12	11	2	16	12						100			55	100	2		1	1	1	2					1			3		3		2																													1	1																																																5																																																																											947										Ainra										884																																																																							1																																																																																																																																																																													
947	Great Spider	65	261	262									1		0	0	7	7	26	14	17	13	11	12	10	10	2	16	14						50				100	0		0	0	0	2					1			3		3																																1																																																15																																																																											946																																																																			-1	8																							1																																																																																																																																																																													
948	Vanadrott	357	21						49	20	2		2		0	0	3	3	15	0	18	14	13	14	16	14	3	14	13			3521	5		150				1000	2		1	1	1	2						2						2	1	2	100	1	1	54528	10	1	1	54528									1																									999	5	65	1																																																																																																																																																																																																					1																																																																																																																																																																													
949	Raven Guard	6	9						198	118			1		0	0	4	3	12	0	10	13	11	12	11	10	4	20	9	1					50					2		1	1	1	2																																																			1							40																																																																																																																							111																																																																															1																																									-1																																																																																																																																				
950	Völva	7											1		0	0	3	3	9	0	14	10	8	8	8	10	4	12	8						0					2		1	1	1	2									2																																1																																																																																															10																																																																																																																								1																																																										1																																																																																																																			
951	Harab Seraph	6							148				1		0	0	4	3	9	0	14	12	9	8	7	12	4	20	8						50					2		1	1	1	2						1				1					100	1	1	6016																																	1																																																																																																																																																																																																													1																																									-1																																																																																																																																				
952	Hero	165							14	20	112		1		0	0	3	3	15	0	10	16	17	12	12	10	2	16	12						100			27		2		1	1	1	2																																										1																																			1																																																																																																		Abasi																																																																																	1																																																																																																																																																																													
953	King Triumphant	10							14	20			1		0	0	3	3	12	0	10	12	11	12	12	10	2	16	15						150					2		1	1	1	2														3																	1											1																																			1																		1																																																																																Yasini																																																																																	1																																																																																																																																																																													
954	Son of Titans	6							14	123	2		1		0	0	3	3	16	0	14	18	14	15	11	10	3	14	12						150			275	400	2		1	1	1	2																																																																													1						20												1																																																																																Pathos																																																																																	1																																																																																																																																																																													
955	Asynja	8							13	2	20		1		0	0	9	9	85	3	18	30	20	15	15	13	2	3	16						200				1000	2		1	1	1	2						2																																			1																																																																																																																																																																																																																							1																																																																																																																																																																													
956	Mother of Tuathas	1							2				1		0	0	9	9	85	3	18	30	20	13	13	13	2	20	16						150				1000	2		1	1	1	2		60	3			2					1																														1																	65	1																																																																																																																																																																																																					1																																																																																																																																																																													
957	Lord of The Desert Sun	315	822										1		0	0	9	9	90	3	18	30	24	14	13	13	2	20	16						150					2		1	1	1	2		60	3		2						1																															1		1																																												15																																																																																																					5						628																																																													1																																																																																																																																																																													
958	Colossal Head												1		0	0	10	10	300	25	18	30	15	5	0	5	0	0	2						150					0	0	0	0	0	1		40	4	1				1					2																					1				1										1						1																	1													1		1				25			1																																						-1																									2																																	6																																																																			1																																																										1																																																																																																																			
959	Pocket Knight	852	8	56									1		0	0	5	5	24	26	15	30	11	11	14	10	1	20	20						50					2	0	1	0	0	2	1																																	1																																					1																	5	15	25																																																																																					Percival																																																																																	1																																																										1																																																																					1																																														
960	Pocket Lich	20											1		0	0	1	1	8	0	18	30	6	8	10	12	0	1	6						10	50				0	0	1	0	0	1										5																								1	1														1																						1												20			1		-5	15	25																																																																																					Carcator																																																																																	1																																																										1																																																																																															7																				
961	Titan of the Sea	641											1		0	0	9	9	88	3	18	30	25	12	13	11	2	20	16						200					2		1	1	1	2		60	3				2	1																																								1																																	400																																																																																																												3																																																																			1																																																																																																																																																																													
962	Madman	591											1		0	0	3	3	10	0	5	50	11	7	7	7	4	12	12						10		10			2		1	1	1	2																																					1																																																																																																					25																																																																																																																						1																																																																																																																																																																													
963	Mad Priest	591	591						195				1		0	0	3	3	9	0	14	30	9	7	7	10	4	12	10	2					10		10			2		1	1	1	2														1																	1																																																																																																											25																																																																																																																						1																																																																																																																																																																													
964	Lord of Fertility	339											1		0	0	9	9	90	3	18	30	22	12	12	12	2	20	16						150					2		1	1	1	2		60	3					1			2																															1																																																																																																												100																																																																																																										1																																																																																																																																																																													
965	Lord of Fertility	339											1		0	0	9	9	90	3	18	30	22	12	12	12	2	20	16						150					2		1	1	1	2																																										1																																																					3																																																							100																																																																																																										1																																																																																																																																																																													
966	Formless Spawn	90	90										1		0	0	7	7	44	6	15	50	16	12	12	0	0	2	10						50		10		3000	0		0	0	0	2																															1						1											1																							1													1	1	1		5		15	20		1																																																																																																																																																																			1																																																										1																																																																																																																			
967	Hybrid	85											1		0	0	3	3	11	1	10	11	11	10	10	10	3	2	10						50				200	2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																										1																																																																																																																			
968	Hybrid	85	85										1		0	0	3	3	11	3	10	11	11	10	8	9	4	2	5						50				200	2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																										1																																																																																																																			
969	Hybrid	252	85						5				1		0	0	3	3	11	3	10	11	11	10	8	9	4	2	5						50				200	2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																										1																																																																																																																			
970	Hybrid	1	85						5				1		0	0	3	3	13	1	10	11	12	10	10	10	3	2	10						50				200	2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																										1																																																																																																																			
971	Hybrid Trooper	1	85						188	152	2		1		0	0	3	3	13	1	10	11	12	10	10	10	3	2	10						50				200	2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																										1																																																																																																																			
972	Hybrid Soldier	641							9				1		0	0	3	3	15	2	12	10	11	10	9	11	3	2	10						50		10		200	2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																										1																																																																																																																			
973	Ancient Kraken	835	835	835	835	342							1		0	0	10	10	230	8	18	30	23	14	8	8	2	1	12	5					50		100			4	0	0	0	0	2		80	2					1	1																																						1											60								1																			1				5	10		100					5																																		-1																																																										9														1																																																					1																																																																																																																																																																													
974	Ichtyid	263	373										1		0	0	3	3	16	5	8	12	11	9	8	7	3	2	8						50					2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																																																																																																																																													
975	Ichtyid Warrior	373							114	25	134		1		0	0	3	3	17	5	8	12	11	9	8	7	3	2	8						50					2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																																																																																																																																													
976	Ichtyid Lord	670							114	25	134		1		0	0	3	3	18	5	8	12	12	10	9	8	3	2	8						50					2		1	1	1	2																																																1																																																																																																																																																																																																																1																																																																																																																																																																													
977	Grand Thaumaturg	7							148				2		0	0	3	3	12	5	18	7	10	8	8	10	4	2	10						10				150	2		1	1	1	2									2	4				2																	1									1					1																																													5																																																																																					Zirru																																																																																	1																																																																																																											1																																																																		
