id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	acidres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	G	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	glamourrange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpglamourgems	gf	ga	gw	ge	gs	gd	gn	gg	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	proudsteed	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	disbelieve	truesight	falsesupplies	bestowtomount	extraarms	nomount	noinanimate	nightmareaura	undreaming	glamourman	nomindless	noforgebonus	magerestriction	dancingweapon	strikes	warning	strrequired	beauty	scalewalls	nononsleeper	reconst	blur	fireempower	airempower	waterempower	earthempower	heavy	dreamenhancer	end
227	Headdress of the Bull	crown	5	N	1				234																				2																																																																																																																					19	66	68	20	21	108														3009		1																																																																																																																											
228	Huaca Headdress	crown	5	F	2				212																																																								25	25	25	1																																																																														72																					1															2																																																																																																												
229	Black Laurel	crown	3	D	2																																																																																																																																													54								3													1																																																																																																																											
230	Blacksteel Plate	armor	1	E	1				39																																																																																																																																																															4		60																																																																																																																								
231	Blacksteel Full Plate	armor	1	E	2				38																																																																																																																																																															4		60																																																																																																																								
232	Enchanted Ring Mail Armor	armor	1	S	1				194																																																																																																																																																															4																																																																																																																										
233	Berserker Pelt	armor	1	N	1				192																																																																																																							1	1																																																							4																																																																																																																										
234	Fire Plate	armor	3	F	1				75		5																	2																																																																																																																																												4																																																																																																																										
235	Robe of Missile Protection	armor	3	A	1				230							80																																																																																																																																																								2																																																																																																																										
236	Lightweight Scale Mail	armor	3	A	1				49																																																																																																																																																															4		78	30																																																																																																																							
237	Mirror Armor	armor	3	G	1	A	1		177																		3																																																																																																																																													4																																																																																																																										
238	Shambler Skin Armor	armor	3	W	1				37																																							1		1																																																																																																																						4																																																																																																																										
239	Dire Wolf Pelt	armor	3	N	1				176			5																		1	1																																																																																																																																									4																																																																																																																										
240	Kithaironic Lion Pelt	armor	3	N	1	E	1		184																																																																																																																																																															4		28	76		-40	-60																																																18																																																																				
241	Ranger's Cloak	armor	3	N	1				232																														30																																																																																																																																	4																																																																																																																										
242	Gossamer Gown	armor	3	G	1				230																																																													1																																																																																																		2																																																																																																																										
243	Red Dragon Scale Mail	armor	5	F	2				36		15																	4																																																																																																																																												6																																																																																																																										
244	Copper Plate	armor	5	A	1				89	10																																																																																																																										Charge Body																																				6																																																																																																																										
245	Silver Hauberk	armor	5	A	2	E	1		48							80																																																																																																																																																								6																																																																																																																										
246	Brightmail Haubergeon	armor	5	A	1	E	1		185																											1																																																																																																																																				6																																																																																																																										
247	Brightmail Hauberk	armor	5	A	2	E	1		265																											2																																																																																																																																				8																																																																																																																										
248	Armor of Meteoritic Iron	armor	5	E	1	S	1		279																		3																																																																																																																																													6		89	127																																																																																																																							
249	Elemental Armor	armor	5	E	2	F	1		59	10	10	10																																																																																																																																																												6		6																																																																																																																								
250	Blue Dragon Scale Mail	armor	5	W	2				36			15																4																																																																																																																																												6																																																																																																																										
251	Robe of the Sea	armor	5	W	3				230																																							1		1																												1																																																																																										2																																																																																																																										
252	Shroud of the Battle Saint	armor	5	S	1				54																																														1								1																																																																																																									2		8																																																																																					1																																			
253	Robe of Shadows	armor	5	S	2				230																														20														1																																																																																																																			2																																																																																																																										
254	Shademail Haubergeon	armor	5	G	2	E	1		186																													20																																																																																																																																		6																																																																																																																										
255	Green Dragon Scale Mail	armor	5	N	2				36				15															4																																																																																																																																												6																																																																																																																										
256	Chain Mail of Displacement	armor	5	G	2				81																																																																																																																																																															6																																																																																																																										
257	Armor of Souls	armor	5	B	5				56																		5																																																									1																																																																																				10																																																						15																																																																				
258	Armor of Twisting Thorns	armor	5	B	3	N	2		34				5																																																		1																			1		1																																																																																																																																																																10											1																																			
259	Armor of Knights	armor	7	E	1				201																																																																																																																																																															6																																																																																																																										
260	Marble Armor	armor	7	E	2				109																																																		1																																																																																																													8																																																																																																																										
261	Stymphalian Wings	armor	7	E	4				74																					-4														1										1															5																																																																																																			10		5																																																																																																	1																							
262	Weightless Scale Mail	armor	7	A	1				50																																																																																																																																																															4		78	30																																																																																																																							
263	Rainbow Armor	armor	7	G	1	W	1		90																		2									3																																																																																																																																				8																																																																																																																										
264	Robe of the Magi	armor	7	A	5	B	5		230																											5																												5												1	1	1	1	1	1	1	1	1																																																																																				2																																																																																																																										
265	Robe of Invulnerability	armor	7	D	2				231																																																																																																																																																															8																																																						25																																																																				
266	Rime Hauberk	armor	7	W	2				46			10																																																																																																								1																																																				8																																														8																																																																												
267	Jade Armor	armor	7	W	2	E	1		107																																											1																																																																																																																				8		69																																																																																																																								
268	Bone Armor	armor	7	D	4				51			5																																																																																																																																																												8																																																						15																																							1																													
269	Hydra Skin Armor	armor	7	N	2				43				15																																																																																																																																				10																							8		9	56																																																																																																																							
270	Cloak of Invisibility	armor	7	G	3				230																													20																																																																																																																																		2																																																																																																																										
271	Bloodstone Armor	armor	7	B	3	E	2		258																				2																																																																																																																				10																							16																																																																																																																								1		
272	Abominable Arms	misc	7	B	4	N	2																							-3	-3																																1	5																																																																																																																																																																																																1										2		1																						
273	Aseftik's Armor	armor	9	E	4				35																		4	8																																			1																																																																																																									15																																																																																																																										
274	Monolith Armor	armor	9	E	4				47																			10																																																																																																																					10																							20																																																																																																			1																					1		
275	Armor of the Dawn	armor	9	E	2	S	1		179		15							2									1																																											1																																																																																																		10																																																																																																																										
276	Robe of Calius the Druid	armor	9	N	3				231	10	10	10															3												20									1																																																																																																																								2																																																																																																																										
277	Fenris' Pelt	armor	9	N	4				72			10																													1																																																																							4	1																			Howl																																				10																																																		50																																																																								
278	Armor of Virtue	armor	9	S	3				110																																														1															4																																																																																																		10								1																																																																																																																		
279	Flesh Ward	armor	9	B	4				82																				4							2																											1	10																				1																																																																																				16																																									2																																														1													1																						
280	Pebble Skin Suit	armor	9	B	4	E	1																						2																														1				1																1																																																																		10																							10												518																																																																																								1																						
281	Purple Silk Garments	armor	3	S	1	W	1		244																		1				2																																																																																																																			77																						2	1				-40	-60																																																																																																																				
282	Salamander Silk Garments	armor	5	F	1				244		15																1																																											1																																																																												67																						2																																																																																																																										
283	Silver Silk Garments	armor	7	S	1	A	1		244																		2									2																																																																																																														77																						2	1				-40	-60																																																																																																																				
284	Armor of the Five Elements	armor	3	E	1	A	1		233	5	5	5															1																																																																																																																							22	69	109																				4					-60	-60																																																																																																																				
285	Boots of Long Strides	boots	1	N	1																																																																																																																																																																													6																																								100																																																																								
286	Fish Scale Boots	boots	1	W	1																																																																																																																																																																																																																																													1																																																
287	Silent Boots	boots	1	G	1																																		20																																																																																																																																																																																																																																																											
288	Chi Shoes	boots	3	A	1			175																																																																																																																																																																		69	22																																																																																																																							
289	Boots of the Behemoth	boots	3	E	1																																																	1																																																																																																																																																																																																																																										1		
290	Boots of Giant Strength	boots	3	E	1																								5																																																																																																																																																																																																																																																																					
291	Birch Boots	boots	3	N	1							10																													1																																																																																																																																																					1																																																																																																				
292	Ranger's Boots	boots	3	N	1																															2			20	1																																																																																																																																																																																																																																																										
293	Brimstone Boots	boots	5	F	1	E	1				15																		4													1																																																																																																																																																																																																																																																								
294	Winged Shoes	boots	5	A	2																																							1																																																																																																																																																																												20																																																																										
295	Earth Boots	boots	5	E	2																																																																										1																																																																																																																																																																																																																			
296	Boots of Stone	boots	5	E	2																																				1																		1																																																																																																																																																																																																																																							
297	Boots of the Messenger	boots	5	N	1																															3																																																																																																																																														9																																																																																																																
298	Pixie Shoes	boots	5	G	1	N	1																								2																									1																																																																																																																										6																																																																																																																
299	Boots of Quickness	boots	7	W	2																																															1																																																																																																																														12																																																																																																																
300	Boots of Grasping Earth	boots	7	E	2																																																																																																																																																																																																																																																																																													
301	Boots of Youth	boots	7	B	2																															3																																																																																																																																															90																																																																																																															
302	Boots of the Spider	boots	7	A	1																																			1	1		1																																																																																																																																																			1	75																																																																																									1										
303	Boots of Seven Mile Strides	boots	7	N	2																																																																																																																																																																													18																																																																																																																
304	Boots of Antaeus	boots	9	E	4	N	1																													5																																											1																																																																		10																																	6																																																																																																																
305	Sandals of the Crane	boots	9	S	2																																																																																																																																Blink																																																																																																																																																													
306	Boots of the Planes	boots	9	S	5																																																1											50																																																																						Teleport																																																					20	20																																																										1																																												
307	The Boots of Calius the Druid	boots	9	N	4																															10																																																																																																																																														9																																																																																																																
308	Wyrmskin Boots	boots	9	W	2	E	2						15														2																					1															1																																																																																		20																							10																																																																																																																										
309	Ring of Fire	misc	1	F	1						15																																																																																																																																																																																																																																																														1																									
310	Ring of Tamed Lightning	misc	1	A	1					15																																																																																																																																																																																																																																																															1																									
311	Ring of Frost	misc	1	W	1							15																																																																																																																																																																																																																																																													1																									
312	Bear Claw Talisman	misc	1	E	1	N	1																					2	5																																																																																																																																																																																																																																												1														-1											
313	Rabbit Foot Charm	misc	1	S	1																																																																																																																																																																				1																																																																																																1																									
314	Skull Talisman	misc	1	D	1																																																													5																																																																																																			-2																																																																																																																													
315	Snake Ring	misc	1	N	1								30																																																																																																																									Poison Touch																																																																																																																																			1																									
316	Slave Collar	misc	1	B	1																							20																																			1																																																																																																					1																																																																													6														1		1																																	
317	Pendant of Courage	misc	1	F	1																							5																																																																																																																																																																																																																																													1																									
318	Burning Pearl	misc	3	F	1						5																			4																																																																																																																																						-1																																																																																																																														
319	Fire in a Jar	misc	3	F	1							5																																																																																			1																																																																																																																																																																										1																									
320	Ring of Warning	misc	3	A	1																																																																																																																		10																																																										60																																																																																																				60													
321	Ring of Levitation	misc	3	A	1																																																																																																																																																																																																																																																																																													
322	Owl Quill	misc	3	A	1																																																																																																																					6																																																																																																																																																																								
323	Eye of Aiming	misc	3	A	1																											8																															1																																																																																																																																																																																																1																																			
324	Amulet of Missile Protection	misc	3	A	2											80																																																																																																																																																																																																																																																																																		
325	Amulet of Breathing	misc	3	A	2																																											1																																																																																																																																																																																																																																																		
326	Flying Ointment	misc	3	A	2	N	1																																					1																																																																																																						14																																																																						20																																	1																																									
327	Ring of Water Breathing	misc	3	W	1																																											1																																																																																																																																																																																																																																																		
328	Flask of Holy Water	misc	3	W	1																																																																																																																																																																																																																																																																				1																									
329	Clam of Pearls	misc	3	W	1	N	1																																																																																												2																																																																							86	40																																																																																																																							
330	Bracers of Protection	misc	3	E	1				76																																																																																																																																																																																																																																																																																									
331	Lodestone Amulet	misc	3	E	1																						2																																																																																																																																																																																																																																														1																									
332	Wound Fend Amulet	misc	3	E	1	S	1											2																																																																																																																																																																																																																																																							1																									
333	Stone Birds	misc	3	E	1	A	1																																																																																																																																																																																																																																																																												176	8														
334	Cat's Eye Amulet	misc	3	E	1										50																								20																																																																																																																																																																																																																																		1																									
335	Clockwork Bird	misc	3	E	1																																																																																																																																																																												60																																																																																																				60													
336	Champion's Skull	misc	3	D	1																																																																																																																																																																																																		3																																																																																											
337	Effigy of War	misc	3	D	1	N	1																																																																																																																																																							50																																																																																																																																				
338	Handful of Acorns	misc	3	N	1																																																														1																																																																																																																																										361																																																																																					
339	Barkskin Amulet	misc	3	N	1																																																					1																																																																																																																																																																																																																																								
340	Cat Charm	misc	3	N	2																										4																																																																																																																																																																																																																																										1														1											
341	Enormous Cauldron of Broth	misc	3	N	3																																																																																																																				150																																																																																																																																																																							1		
342	Pendant of Luck	misc	3	G	1																																																			1																																																																																																																																																																																																																																										
343	Amulet of Clarity	misc	3	G	1																																																																																																																																																																																																																																																																	2	1																											
344	Tablecloth of Marvelous Feasts	misc	3	G	3																																																																																																																																																																																																																																																																			400																										
345	Gossamer Cloth	misc	3	G	2	N	1																																																																																																																																																							-25												11	58																																																																																																																							
346	Ring of the Warrior	misc	3	B	1																							2		5																																																																																																																																																																																																																																											1																									
347	Imp Familiar	misc	3	B	1																																																										1	1		1																																																								3																																											2287					103																																																																																					1																		1																	
348	Soul Contract	misc	3	B	3	F	1																																																								1	10		10																																																																								304																																103			400																																																																																		1																	1	1																	
349	Witches' Ointment	misc	3	B	2	A	1																																					1																																																																																																						62																																																																						20																																	1																																									
350	Medallion of Vengeance	misc	5	F	1																																																																																																																																																																																																																																	10																																																												
351	Pills of Water Breathing	misc	5	A	2																																												75																																																																																																																																																																																																																																																	
352	Dancing Trident	misc	5	A	1																																																																																																																																																																																																																																																																														121	2														
353	Storm Spool	misc	5	A	1					10																																																																																																																																															2																																																																																						1																																																			
354	Bag of Winds	misc	5	A	2																																																														1																													1																																																																					3727																																																																																																																													
355	Wall Shaker	misc	5	A	3																																																																																																																																	Panic																																				17																																																			50																																																																					
356	Flying Carpet	misc	5	A	3																																																																																																																																																																					65	18																																												30	20																																																																										
357	Horn of Storms	misc	5	A	5																																																																								1																																																									Storm Wind																																																																																																																																																												
358	Dancing Shield	misc	5	A	1	E	1																		20																																																																																																																																																																																																																																																																									
359	Mirror of Trapped Images	misc	5	G	1																																																																																																																																	Warrior Illusion																																																																																																																																									1																			
360	Enchanted Mirror	misc	5	G	2																																																																																																																																																									75																																																																																																																	1																			
361	Cauldron of the Elven Halls	misc	5	G	3																																																																																																																																																									-75												30	78																																																																																																																					1		
362	Water Lens	misc	5	W	1																																																																																			1									1																																																																																																																																																																																																	
363	Amulet of the Fish	misc	5	W	1	A	1																																											1																																																																																																																																																																																																																							1																									
364	Manual of Water Breathing	misc	5	N	3	W	1																																										150																																																																																																																																																																																																																																																	
365	Enchanted Salt	misc	3	E	1			761																																																																																																																																																																																																																																																																																										
366	Girdle of Might	misc	5	E	1																								3							3																																																																																																																																																																																																																																																														
367	Sky Metal Matrix	misc	5	E	1	S	1																																																																																																																																																																																																																																																																																											
368	Slave Matrix	misc	5	E	1	S	1																																																																																																																																																																																																																																																																																											
369	Amulet of Antimagic	misc	5	S	1																						4																																																																																																																																																																																																																																														1																									
370	Spell Focus	misc	5	S	1																																1																				1																																																																																																																																																																																																																																									
371	Eye of the Void	misc	5	S	1																						-2										2																										1	3																																																																																																																																	1																																																														1																																			
372	Coin of Meteoritic Iron	misc	5	S	2	E	2																				1																																																					1																																																																																																																																																																																									1																									
373	Amulet of the Dead	misc	5	D	1																																																													5																																																																				Animate Skeleton																											2	2																																																																																																																																
374	Skull Mentor	misc	5	D	2																																																																																																																					14																																																																																																																																																																								
375	Bane Venom Charm	misc	5	D	2																																																									1																																																																																																																																																														5																																																																						
376	Spider Amulet	misc	5	N	1								15																																																																																																																																																																																																																																																												1															1										
377	Horn of Valor	misc	5	N	1																																																															1																																																																																																																																																																																																																														
378	Acorn Necklace	misc	5	N	1	E	1			15																																														1																																																																																																																																																																																																																	1																									
379	Endless Bag of Wine	misc	5	N	1																																																																																																																				75																																																																																																																																																																									
380	Amulet of Giants	misc	5	N	1																																																																																																																																																																																																																																																														1																															
381	Lychantropos' Amulet	misc	5	N	2										50														4																																		1																																																	1	1																																10																																																																																																																																																	
382	Ring of Regeneration	misc	5	N	2																																																																																																																																												10																																																																																																																								1																									
383	Amulet of Resilience	misc	5	N	2																															5																																																																																																																																																																																																																																					1																									
384	Homunculus	misc	5	N	2																																																										1				1																																																							11																																											3659																																																																																										1																																			
385	Cornucopia	misc	5	N	3																																																																																																2																				75																																																																																																																																																																									
386	Miraculous Cure All Elixir	misc	5	N	5															1																																																																																																																																																																																																																																																																														
387	Astral Serpent	misc	5	N	1	S	1						5																																																																																																																																																													98	108																																																																																														1										177	2														
388	Pendant of Beauty	misc	5	G	1																																																																																																																																																																																																																																																																																		2											
389	Dream Spool	misc	5	G	1																																																																																																	1																																																																																																						297																																																																																						
390	Dreamstone	misc	5	G	1																						-2																																																																																															9																																																																																																																																																								7							1									
391	Stone Sphere	misc	5	G	2	E	1																																																									3																																																																						Astral Window																																																																																																																																																												
392	Neverending Keg of Mead	misc	5	G	1	W	1																																																																																																																		50																																																																																																																																															150																										
393	Sanguine Dowsing Rod	misc	5	B	1																																																																																																																																																																																																				1																																																																																									
394	Brazen Vessel	misc	5	B	5																																																																															1																																																																																																							20	20																																																																																																						
395	The Heart of Life	misc	5	B	3								5																							10																											1																																																																																																																				50																																																																												1	1												1					1																	
396	Lifelong Protection	misc	5	B	2																																																										1	5		5																																																																																																								103			300														10																																																																				1																	1	1																	
397	Blood Stone	misc	5	B	3	E	2																																																																								1																			1																																																																																																																																																																																																
398	Slave's Heart	misc	5	B	3	S	1																					10																																			1																																																																																																																																																																																																1	1												1																						
399	Lightless Lantern	misc	7	F	1										100																																																	3																																																										12																																																																																																																													10																		1																									
400	Skull of Fire	misc	7	F	1	D	1					-5																																																																1																																																																																																																																																																																																																						
401	Barrel of Air	misc	7	A	4																																												450																																																																																																																																																																																																																																															1		
402	Mirror of False Impressions	misc	7	G	4																																																												-50																																																																																																																																																																									1																																					1																			
403	Water Bracelet	misc	7	W	1																																																																									1																																																																																																																																																																																																																				
404	Bottle of Living Water	misc	7	W	2																																																														1																																																																																																		3732																																																																																																																													
405	Sea King's Goblet	misc	7	W	3																																												300																																																																																																																																																																																																																																																	
406	Chains of Reconstruction	misc	7	E	1																															1																																																																																																																																																																																																																																					1																	5								
407	The Copper Arm	misc	7	E	3	F	1																																																								1																																																																																																											60																																																																																																1																								
408	Crystal Heart	misc	7	E	1	G	1																																																	1							1																																																																																																																																									1																																																							1	1												1																						
409	Stone Idol	misc	7	E	2	S	2																																																																																																																				3																																															65																																																																																																																						1		
410	Eye Pendant	misc	7	E	3	D	3													1																																																																																																			10																																																										80																																																																																																				80													
411	Arcane Lens	misc	7	S	3																																																																																	1	1	1	1	1	1	1	1	1																																																																																																																																																																																																				
412	Ring of Returning	misc	7	S	3																																																																																																																																																																											1																																																																																																																		
413	Ring of Wizardry	misc	7	S	7																																1																																							1	1	1	1	1	1	1	1	1																																																																																																																																																																																																														
414	Ring of Sorcery	misc	7	S	6																																1																																											1	1	1	1																																																																																																																																																																																																															
415	Elixir of Life	misc	7	N	2	F	2																																																																																																																																																																												80																					1																																																																																										
416	Pocket Ship	misc	7	N	3	A	2																																							600	7																																																																																																																																																																																																																																																			
417	Moonvine Bracelet	misc	7	N	3	S	1																																																																											1																																																																																			361																																																																																																																													
418	Eye of Innocence	misc	7	G	2																																		40																								1																																																																																																																																																																																																1																																			
419	Mirage Crystal	misc	7	G	3	E	2																																																																												1																																																																											-50												18	65																																																																																																																							
420	Eye of the Oracle	misc	9	G	4																									5	5	4																															1	5																																																																																																																	80																																																																														1																						80													
421	Ring of Invisibility	misc	7	G	5																																	20																																																																																																																																																												1																																																																							1																									
422	Ring of the False Prophet	misc	7	G	4	F	2																																																								1																						1																																																																																																																																																																																																													
423	The Black Heart	misc	7	B	2																							2																																			1																																																																																																																																																					1																																											1	1												1					1																	
424	Blood Pendant	misc	7	B	2										50														2																																																																	1																																																																																																																																																																											1																									
425	The Heart of Quickness	misc	7	B	2	F	1					5	-5																							2																1											1																																																																																									2																										12																																																																													1	1												1																						
426	The Ruby Eye	misc	9	F	3																																																										1													1																													2																																																																																																																																																						1																																			
427	Fever Fetish	misc	9	F	1	N	1																																																							1																																									2																																																																																																																																																																																											
428	The Ark	misc	9	F	5	S	5																																																																																																																													Ark																																																							100	100																																													2																																																							1		
429	Amulet of the Doppelganger	misc	9	G	2																																	50																																																																																																																																																		9																																																																																	1																									
430	The Flying Ship	misc	9	A	5																																																																																																																																																																																																																		1000	26																																																																								1		
431	Igor Könhelm's Tome	misc	9	A	2	D	2																																																																																																																																																		20																																																		5																																																																																							
432	Tome of High Power	misc	9	A	2	S	2																																																									5													1			1						2	2	2	2	2	2	2	2	2																																																																																																																																																																																																				
433	The Magic Lamp	misc	9	A	5	F	4																																																																																																																															Summon Jinn																																				65																																																																																																																								
434	Krupp's Bracers	misc	9	E	2				78																											3																																																																																																																																																																																																																																																														
435	Draupnir	misc	9	E	5																																																																																																																																																																																																										400																																																																																			
436	The First Anvil	misc	9	E	6																																																																																																																																																							1																																																																																																																																						
437	Holger the Head	misc	9	E	1	D	1																																																																																																																		-3											Grow Headless Hoburg																																																																																																																																																														
438	Percival the Pocket Knight	misc	9	E	1	N	1																																																																																																																													Grow Knight																																																																																																																																																														
439	Alchemist's Stone	misc	9	E	1	F	1				15	15		15								50																																																																																																																																																																																																																																																																												
440	Gate Stone	misc	9	E	7	S	7																																																																																																																															Astral Travel																																																																																																																																																										1		
441	Atlas of Creation	misc	9	E	5	S	5																																																									5															1	1		1																																																				Record of Creation																																																																																																																																																												
442	Bell of Cleansing	misc	9	W	2						5																																																																																																																										Cleansing Chime																																																																																																																																																													
443	Orb of Atlantis	misc	9	W	4	E	1																																										600																		25											1																																																						Friendly Currents		Summon Lesser Water Elemental																																																																																																																																																												
444	Dome of the Ancients	misc	9	S	5																						6																																																																																																																																																																																																																																														1																							1		
445	The Astral Harpoon	misc	9	S	5	B	1																																																																																																																															Astral Harpoon																																																																																																																																																												
446	The Forbidden Light	misc	9	S	5	F	5				5	5																																																			1	50												2				2																							1																													Solar Brilliance																				1																																																																																											1				25				20														1																									
447	Nethgul	misc	9	S	3	W	2																																																																																																																														Nethgul																																																																																																																		-4																																											
448	The Black Mirror	misc	9	S	4	B	2																				-4																																		1																						1																																																			Mind Hunt																																																																															104																																																																											1		
449	The Horror Harmonica	misc	9	S	5	G	4																					-2																																				30																																																																				Wailing Winds		Call Horror																																																																																																																																																												
450	Tome of the Lower Planes	misc	9	S	3	B	2																																																																													1																																																																																																							50	50																																																																																																						
451	The Death Globes	misc	9	D	2																																																																																																																																																																																																																																																																													5	772	6														
452	Carcator the Pocket Lich	misc	9	D	4																																																													50																																																								4										Grow Lich																																																																																																																	3																																													
453	The Ankh	misc	9	D	5					5																																																						3																																																																				Life after Death																																																																																																																																																														
454	Disease Grinder	misc	9	D	3	F	1																																																																																																																																																																																												1																																																																																															
455	The Black Book of Secrets	misc	9	D	2	B	2																																																														5												1			1																																																																																																																																																																																																														
456	The Green Eye	misc	9	N	2																																2																										1																																																																						Sleep																																																																																																																										1																																			
457	Wondrous Box of Monsters	misc	9	N	4																																																																																																																																Grow Monster																																																																																																																																																											1		
458	Fountain of Youth	misc	9	N	3	F	3																																																																																																																																																																																													75																																																																																														
459	Midget's Revenge	misc	9	N	1	W	1																						2	3	3																																																																																																																																									10																																																						20				2																																1																																
460	Soulstone of the Wolves	misc	9	N	6	E	1																																																																																																																													Howl		Call of the Wild																																																																																																																																																												
461	The Chalice	misc	9	N	5	S	3														5																																																																																																																	Banishment																																													100																																																				10																																																											
462	The Tome of Gaia	misc	9	N	2	E	2																																																																								1			1																																																																																																																																																																																																																
463	The Protection of Geryon	misc	9	B	3																																																										1																																																																																																														100																																																														2277	-12																			1																	1	1																	
464	The Manual of Cross Breeding	misc	9	B	3	N	3																																																									5																																																																	20																																																																																																																																																																	
465	The Gift of Kurgi	misc	9	B	5				94																20																			1									1								1		1	20					30																																																															Call Lesser Horror		Send Lesser Horror																									307																										10	2																																																												2	5		1																1							1																		
466	Ardmon's Soul Trap	misc	9	B	3	S	1																						-2							-1																																																																																																Open Soul Trap																																																																																																																																																														
467	Tome of the Forgotten Masons	misc	9	E	5	B	1																																																								1	10																																																																																																												1																																																																																																																						
468	The Silver Arms	misc	9	E	3	F	3																						4																																		1																																																																																																									10																																																																																																		2																								
469	Tome of Legends	misc	9	G	5																																																																														2																																																																																		3626																																																																																																										1																			
470	The Missing Tune	misc	9	G	5																						-2	4																																																																																		1																						The Missing Tune																																																																																																																																																														
471	The Trapped Dreams of Hruvur	misc	9	G	4	S	4																					-2	2								2																										1	50																1			1	1																																																																																				15																																																																																																																										
472	Orb of Elemental Fire	misc	9	F	4						25																																																																	1																											1																																																																																						3																																																																												1																			1						
473	Orb of Elemental Air	misc	9	A	4					25																																																																			1																											1																																																																																																																																							1																										1																				1					
474	Orb of Elemental Water	misc	9	W	4							25																																																																		1																											1																																																																																																																																																																1																					1				
475	Orb of Elemental Earth	misc	9	E	4																															2																																											1																											1																																																																																																																																																															1													16									1	1		
476	The Void Sphere	misc	9	S	6	B	1																																																								1	75																2																			3								2																																																																															4																																																																																																								
477	Windcatcher Sail	misc	5	A	2																																																																																																																																													77																																																																																																								1																																								
478	Companion Bracelet	misc	5	A	2																																																			1							1																																																											4										Summon Qarin														18	65																																																																																																																																															
479	Ring of Dwarven Gold	misc	11	E	5	F	5																																																								1																																																																																																																																																																																		4																																																	
480	Jinn Bottle	misc	7	A	1	E	1																																			1																									1																																																																															65																			3354																																																																																																																													
481	Golden Apple	misc	13	F	1																							2																																																																																																																																																																																																																																																																						
482	Eye of the Grey Ones	misc	15	D	1																																																																																																																																																																																												1																																																7																																																	
483	Holy Thing	misc	13	S	4																							4																												1																																																																												Divine Blessing																																																																																																																																																														
484	Mercury Barrel	misc	7	W	1	E	1																																																												1																																																																															102																			3762																																																																																																																											1		
485	Enchanted Saddle	barding	3	N	1																																																																																																																																																																			2																																																																																					1																																					
486	Enchanted Barding	barding	3	N	1				270																																																																																																																																																															4																																																																																																																										
487	Boar Leather Barding	barding	5	N	1				271																																																																																																																																																															6																																																																																																																										
488	Knight's Barding	barding	7	A	1	E	1		272							80																																																																																																																																																								8																																																																																																																										
489	Blacksteel Barding	barding	3	E	2				273																																																																																																																																																															4		60																																																																																																																								
490	Gossamer Barding	barding	5	G	1				274																																																																																																																																																															6																																																																																																																			1							
491	Fay Steed Barding	barding	7	G	1	E	1		275																																																													2																																																																																																		8																																																																																																																										
492	Lightweight Cataphract Barding	barding	5	A	2				276																																																																																																																																																															6																																																																																																																										
